Country,Code,Year,Agriculture (% of GDP),GDP per capita,Population (historical),Region
Sub-Saharan Africa (WB),,2021,17.02323,3726.195,,Africa
Sudan,SDN,2021,6.357092,3701.069,48066927,Africa
Suriname,SUR,2021,8.900155,14811.24,617905,South America
Svalbard and Jan Mayen,SJM,2021,,,2400,Europe
Sweden,SWE,2021,1.2880936,54160.367,10416136,Europe
Switzerland,CHE,2021,0.62593246,71044.87,8707018,Europe
Syria,SYR,2021,27.822147,,21628840,Asia
Taiwan,TWN,2021,,,23558330,Asia
Tajikistan,TJK,2021,22.449081,3910.4626,9966912,Asia
Tanzania,TZA,2021,24.78845,2584.3977,62830413,Africa
Thailand,THA,2021,8.708376,17087.21,71727340,Asia
Togo,TGO,2021,18.814455,2130.859,8878384,Africa
Tokelau,TKL,2021,,,2225,Oceania
Tonga,TON,2021,16.323248,6142.9634,105504,Oceania
Trinidad and Tobago,TTO,2021,1.4709468,23036.256,1487715,North America
Tunisia,TUN,2021,10.138725,10395.913,12048625,Africa
Turkey,TUR,2021,5.533753,31722.16,86686255,Asia
Turkmenistan,TKM,2021,11.74854,14696.823,7092041,Asia
Turks and Caicos Islands,TCA,2021,0.38936472,19763.545,45260,North America
Tuvalu,TUV,2021,,4604.402,10214,Oceania
Uganda,UGA,2021,23.841805,2246.414,45910932,Africa
Ukraine,UKR,2021,10.885772,12949.326,44298641,Europe
United Arab Emirates,ARE,2021,0.9434184,70028.02,9789054,Asia
United Kingdom,GBR,2021,0.7095639,45567.57,67668789,Europe
United States,USA,2021,0.95956665,63635.824,340161441,North America
United States Virgin Islands,VIR,2021,,,87238,North America
Upper-middle-income countries,,2021,7.00332,17634.266,2826094366,South America
Uruguay,URY,2021,8.12893,23257.256,3396692,South America
Uzbekistan,UZB,2021,24.618288,7800.5015,34243696,Asia
Vanuatu,VUT,2021,,2800.494,305883,Oceania
Vatican,VAT,2021,,,527,Europe
Venezuela,VEN,2021,,,28237831,South America
Vietnam,VNM,2021,12.56037,10628.22,98935101,Asia
Wallis and Futuna,WLF,2021,,,11590,Oceania
Western Sahara,ESH,2021,,,558625,Africa
World,OWID_WRL,2021,4.2982464,17091.352,7954448405,Asia
Yemen,YEM,2021,,,37140233,Asia
Zambia,ZMB,2021,3.0009184,3287.4204,19603610,Africa
Zimbabwe,ZWE,2021,8.849899,2115.1445,15797220,Africa
